Patient_ID	ENSG00000224037.2	ENSG00000229719.2	ENSG00000241449.1	ENSG00000258252.1	ENSG00000258573.1
TCGA-A5-A0G1-01	0.038364004	0	0.028022403	0	0
TCGA-A5-A0G2-01	0	0.018847265	0.001331241	0.078262634	0
TCGA-A5-A0G3-01	0	0	0.036451741	0	0
TCGA-A5-A0G5-01	0	0	0	0	0
TCGA-A5-A0G9-01	0	0	0	0	0
TCGA-A5-A0GA-01	0.033401547	0	0	0	0
TCGA-A5-A0GB-01	0.031037821	0	0.022671104	0	0.019991133
TCGA-A5-A0GD-01	0.068047099	0	0	0	0
TCGA-A5-A0GE-01	0.035819842	0	0	0	0
TCGA-A5-A0GG-01	0.11080028	0	0	0	0.023788431
TCGA-A5-A0GH-01	0	0.040724579	0	0	0
TCGA-A5-A0GI-01	0	0	0	0.082220048	0.035455408
TCGA-A5-A0GJ-01	0	0	0	0	0
TCGA-A5-A0GM-01	0.080265663	0	0.029314416	0.090703799	0
TCGA-A5-A0GN-01	0	0	0.071359248	0	0
TCGA-A5-A0GP-01	0	0	0	0	0
TCGA-A5-A0GQ-01	0.053249006	0	0.024448239	0	0
TCGA-A5-A0GR-01	0.130529343	0	0.032493637	0	0
TCGA-A5-A0GU-01	0	0	0	0	0
TCGA-A5-A0GV-01	0	0	0.054997299	0.089879058	0
TCGA-A5-A0GW-01	0.03220764	0.01752986	0	0	0
TCGA-A5-A0GX-01	0.083130391	0	0.030360664	0	0
TCGA-A5-A0R6-01	0.040464172	0	0.029556438	0	0
TCGA-A5-A0R7-01	0.069619304	0	0.020407856	0	0
TCGA-A5-A0R8-01	0	0.021361934	0	0	0
TCGA-A5-A0R9-01	0.039502516	0	0	0	0
TCGA-A5-A0RA-01	0	0	0	0	0
TCGA-A5-A0VP-01	0.114972795	0	0.013996688	0	0
TCGA-A5-A0VQ-01	0	0	0.04787919	0	0
TCGA-A5-A1OG-01	0	0	0	0	0
TCGA-A5-A1OK-01	0.102476903	0	0.021996186	0	0
TCGA-AJ-A23M-01	0	0	0	0	0
TCGA-AJ-A23O-01	0.037617524	0	0.027477148	0	0.048458101
TCGA-AP-A051-01	0	0	0	0	0
TCGA-AP-A052-01	0.050491006	0.109924263	0.036880387	0	0
TCGA-AP-A053-01	0	0.021946528	0	0	0
TCGA-AP-A054-01	0.099844368	0	0.195336201	0	0
TCGA-AP-A056-01	0	0.071377633	0	0	0
TCGA-AP-A059-01	0	0	0	0	0
TCGA-AP-A05A-01	0	0.046974737	0	0.585183052	0
TCGA-AP-A05D-01	0	0	0	0	0
TCGA-AP-A05H-01	0	0	0.028908291	0	0
TCGA-AP-A05J-01	0	0	0	0.140206372	0
TCGA-AP-A05N-01	0.132110663	0.131983013	0	0	0
TCGA-AP-A05O-01	0.037795032	0.020570946	0	0	0
TCGA-AP-A05P-01	0.002865672	0	0	0	0
TCGA-AP-A0L8-01	0	0	0	0	0
TCGA-AP-A0L9-01	0.035694467	0	0	0.080672696	0.04598086
TCGA-AP-A0LD-01	0	0	0	0.150159974	0
TCGA-AP-A0LE-01	0	0	0	0	0
TCGA-AP-A0LF-01	0	0	0	0	0
TCGA-AP-A0LG-01	0	0	0	0.08669206	0
TCGA-AP-A0LH-01	0	0.059040912	0.002460702	0	0
TCGA-AP-A0LI-01	0	0	0	0	0
TCGA-AP-A0LJ-01	0.092937523	0	0.0339424	0	0
TCGA-AP-A0LL-01	0	0	0.009745912	0.312520758	0
TCGA-AP-A0LM-01	0	0	0.031379239	0	0
TCGA-AP-A0LN-01	0	0	0	0	0
TCGA-AP-A0LO-01	0	0	0.029377804	0	0
TCGA-AP-A0LP-01	0.087364863	0	0.056677205	0	0
TCGA-AP-A0LT-01	0	0	0	0	0
